"zillow_id","latitude","longitude","year_built","bathrooms","bedrooms","last_sold_date","last_sold_price","property.size","home_type","tax_year","tax_value","home_size","zipcode","list","url"
89238854,37.764114,-122.402984,2007,1,1,2015-02-27,850000,NA,"Condominium",2015,551804,804,94107,NA,NA
89239027,37.769968,-122.435755,1900,1,2,2014-02-21,860000,NA,"Condominium",2015,877180,960,94117,NA,NA
89239162,37.782654,-122.407811,1900,1,1,2015-09-04,850000,NA,"Condominium",2015,409844,606,94103,NA,NA
89240334,37.774612,-122.449317,1925,1,NA,2015-06-16,850000,NA,"Condominium",2015,261952,684,94117,NA,NA
89240491,37.762733,-122.423241,1907,1,2,2014-11-25,855000,2125,"Condominium",2015,855000,949,94110,NA,NA
96014060,37.786731,-122.425918,2008,2,1,2014-05-02,850000,NA,"Condominium",2015,866982,799,94109,NA,NA
96042763,37.787574,-122.419425,2009,2,2,2014-10-28,864000,NA,"Condominium",2015,864000,1017,94109,NA,NA
96045850,37.773929,-122.39624,2009,1,1,2016-04-11,870000,NA,"Condominium",2015,632284,693,94158,NA,NA
96048523,37.77393,-122.39624,2009,1,1,2014-05-05,850000,NA,"MultiFamily2To4",2015,866982,856,94158,NA,NA
15063964,37.80443,-122.404275,1975,1,1,2014-05-01,860000,NA,"Condominium",2012,992992,1212,94111,NA,NA
89237327,37.76408,-122.403289,2007,1,1,2016-03-21,850000,NA,"Condominium",2015,710390,790,94107,NA,NA
111710812,37.776062,-122.419853,2009,1,1,2014-11-06,870000,NA,"Condominium",2015,870000,946,94102,NA,NA
111710833,37.776062,-122.419853,2009,1,1,2014-03-25,851000,NA,"Condominium",2015,642736,967,94102,NA,NA
111710865,37.789905,-122.398941,1906,1,1,2011-01-12,299000,NA,"MultiFamily2To4",2015,318694,620,94105,NA,NA
111710931,37.790542,-122.395927,2009,1,1,2013-11-01,865000,NA,"Condominium",2015,882282,773,94105,NA,NA
111922382,37.759689,-122.390861,2009,1.5,1,2015-04-23,855000,NA,"Condominium",2015,585063,835,94107,NA,NA
2130917262,37.75291,-122.41714,1908,1,2,2016-01-12,850000,NA,"MultiFamily2To4",NA,NA,3814,94110,NA,NA
15063661,37.803994,-122.413646,1995,2,3,2014-05-07,862500,NA,"Condominium",2015,948580,1400,94133,NA,NA
116089963,37.771587,-122.388458,2012,1,1,2014-04-24,850000,NA,"Condominium",2015,866980,835,94158,NA,NA
119684733,37.775715,-122.46707,1906,1,2,2014-06-16,870000,NA,"Condominium",2015,887382,1230,94118,NA,NA
15063758,37.803839,-122.414563,1997,2,2,2013-06-28,860000,NA,"Condominium",2015,881163,1087,94133,NA,NA
122064151,37.753643,-122.401192,1900,1,2,2014-04-29,850000,NA,"Condominium",2015,671780,1356,94107,NA,NA
122064206,37.753643,-122.401192,1900,2,2,2014-06-13,850000,NA,"Condominium",2015,522550,975,94107,NA,NA
122244941,37.76822,-122.421779,2012,2,2,2014-04-22,855000,11020,"Condominium",2015,872082,790,94103,NA,NA
123174934,37.788066,-122.418065,2014,2,3,2014-01-23,860000,NA,"Condominium",2015,877182,1330,94109,NA,NA
123598137,37.771762,-122.507324,1947,2,3,2014-09-26,850000,NA,"Condominium",2015,850000,1289,94121,NA,NA
124397624,37.769856,-122.426551,2014,1,2,2014-03-31,868000,NA,"Condominium",2015,885342,876,94102,NA,NA
124397734,37.769856,-122.426551,2014,1,1,2014-04-03,861000,NA,"Condominium",2015,877922,788,94102,NA,NA
15149286,37.76098,-122.404929,1912,1,2,2015-06-12,864000,1873,"Condominium",2014,1863462,1037,94107,NA,NA
125218094,37.758128,-122.434679,1924,1,1,2014-12-24,865000,NA,"Condominium",2015,864998,922,94114,NA,NA
15063845,37.804401,-122.404265,1975,2,2,2014-07-22,741000,1194,"SingleFamily",2015,741000,1333,94111,NA,NA
2101159566,37.796161,-122.413932,1902,4,4,2015-10-15,865000,1376,"MultiFamily2To4",NA,NA,2474,94133,NA,NA
2103271622,37.795433,-122.414611,1910,1,1,2015-04-02,850000,NA,"Condominium",NA,NA,NA,94109,NA,NA
2103549289,37.75238,-122.411643,NA,NA,NA,2015-05-28,850000,NA,"Unknown",NA,NA,NA,94110,NA,NA
2103724799,37.80349,-122.432,1979,1,1,2015-02-27,855000,NA,"MultiFamily2To4",NA,NA,803,94123,NA,NA
2103982768,37.751698,-122.422607,NA,2.5,3,2014-02-26,850000,NA,"Condominium",NA,NA,NA,94110,NA,NA
15063964,37.80443,-122.404275,1975,1,1,2014-05-01,860000,NA,"Condominium",2012,992992,1212,94111,NA,NA
2105117627,37.76594,-122.43037,1907,1,3,2014-11-04,866100,NA,"Condominium",NA,NA,1312,94114,NA,NA
2105131287,37.774276,-122.447875,1921,1.5,2,2014-12-09,870000,NA,"MultiFamily2To4",NA,NA,NA,94117,NA,NA
2105117627,37.76594,-122.43037,1907,1,3,2014-11-04,866100,NA,"Condominium",NA,NA,1312,94114,NA,NA
