,zillow_id,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_size
3215,83153359,37.773387,-122.395759,2007,2.0,2,02/11/2015,1507500,,1259
3216,15106671,37.758767,-122.476012,1939,2.0,3,03/31/2016,1510000,2495,1375
3217,89236510,37.788246,-122.403198,2007,2.0,2,08/29/2013,1480000,,1431
3218,89236833,37.760688,-122.441596,1902,2.0,2,10/21/2015,1510000,,1460
3219,89236854,37.760568,-122.449641,1912,2.0,3,06/24/2014,1505000,,1578
3220,89237004,37.789533,-122.390371,2010,3.0,2,03/10/2016,1500000,,1385
3221,89237596,37.774547,-122.443572,1880,2.0,3,08/02/2013,1485000,,1805
3222,89239189,37.769969,-122.452503,1900,2.0,3,10/21/2015,1475000,3437,1514
3223,89239642,37.766586,-122.449058,1900,2.5,3,12/11/2015,1525000,,2084
3224,89239837,37.789533,-122.390371,2009,2.0,2,11/17/2015,1480000,,1316
3225,89240477,37.789533,-122.390371,2009,2.0,2,04/30/2013,1499000,,1309
3226,89240606,37.789533,-122.390371,,1.0,1,02/23/2016,1525000,,808
3227,96011794,37.80125,-122.432462,1964,2.0,2,08/12/2015,1500000,,1185
3228,2139128873,37.776021,-122.424943,,2.5,3,11/12/2014,1520000,,
3229,2100642818,37.763446,-122.423294,1924,1.0,3,03/25/2016,1500000,,1824
3230,15074899,37.790495,-122.42303,1987,2.5,2,08/21/2015,1513500,,1603
3231,15066325,37.798125,-122.414699,1906,2.0,2,07/05/2013,1500000,4098,1400
3232,15097994,37.776153,-122.473995,1921,6.0,4,11/05/2013,1525000,3184,3720
3233,2100665090,37.774384,-122.457952,1908,3.0,3,,,,1985
3234,15164011,37.735401,-122.411567,1907,3.0,3,03/03/2015,815000,1742,912
3235,111929604,37.778456,-122.485959,1919,4.0,4,,,2064,2055
3236,2118925907,37.796392,-122.43528,1906,2.0,3,04/12/2001,750000,,1367
3237,15180730,37.749795,-122.421862,1900,2.0,3,12/29/2010,1175000,2042,1577
3238,15135196,37.738566,-122.45856,1966,4.0,3,,,3036,2769
3239,15127782,37.76215,-122.4466,1940,1.0,3,12/02/2014,1185000,2090,1166
3240,15183622,37.740855,-122.430108,1914,2.0,2,02/12/2010,865000,2178,1604
3241,80751976,37.780117,-122.389648,2000,2.0,3,03/11/2014,1315000,,1234
3242,80742630,37.781167,-122.390697,2004,2.0,2,04/21/2005,1125000,,1203
3243,80739340,37.780117,-122.389648,2000,2.0,2,11/07/2011,900000,,1279
3244,15105926,37.760924,-122.467911,1924,3.0,3,03/27/2012,821000,3000,2164
3245,15132527,37.749191,-122.465658,1922,4.5,4,04/19/2007,1410000,5323,2700
3246,15144691,37.760393,-122.423091,1940,1.5,3,08/28/2008,1145000,1873,1294
3247,15145061,37.759589,-122.429549,1910,3.0,3,09/12/2014,1400000,,1208
3248,15163316,37.737865,-122.415706,1910,3.0,4,07/09/2014,1625000,1751,1877
3249,15167435,37.726943,-122.419378,1938,3.0,4,08/29/2014,845000,3000,2300
3250,15097729,37.776265,-122.480423,1920,2.0,3,,,1977,2100
3251,15101336,37.762928,-122.49513,1940,3.0,3,08/14/2015,660000,2156,2254
3252,2099065870,37.7702,-122.394,2015,2.0,2,,,,1244
3253,64972717,37.787029,-122.3936,2004,2.0,2,07/30/2013,1375000,,1344
