,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_size
4589,37.719275,-122.45114,1936,5.0,8,04/16/2014,738000,1960,1561
4590,37.71536,-122.446273,1920,1.0,2,02/27/2014,723000,2203,1220
4591,37.717204,-122.461222,1957,1.0,2,12/31/2013,720000,2874,1000
4592,37.717215,-122.457884,1964,2.0,3,01/30/2015,730000,3123,1124
4593,37.714691,-122.449547,1945,1.0,3,03/10/2015,725000,2687,1214
4594,37.716709,-122.465602,1941,1.0,2,05/08/2015,730000,2499,1150
4595,37.716836,-122.468304,1956,2.0,3,12/19/2014,740000,2495,1599
4596,37.715371,-122.471452,1940,1.0,,04/16/2014,739000,1755,1200
4597,37.714688,-122.453845,1948,3.0,5,02/23/2016,730000,3123,1196
4598,37.714665,-122.462449,1939,1.0,2,10/06/2015,723500,3049,913
4599,37.711607,-122.452218,1929,2.0,3,02/28/2014,725000,1899,1355
4600,37.713859,-122.465018,1940,1.0,3,12/09/2015,720000,2495,984
4601,37.71377,-122.467712,1951,1.0,3,04/03/2015,740000,1070,1070
4602,37.711219,-122.465541,1951,1.0,0,12/05/2014,730000,2613,1025
4603,37.710768,-122.453393,1978,3.0,4,07/09/2013,720000,2178,2050
4604,37.70947,-122.458485,1929,1.0,2,06/17/2014,740000,2996,960
4605,37.746808,-122.440564,1972,2.0,2,06/21/2013,720000,,1175
4606,37.74681,-122.44057,1972,2.0,2,05/06/2014,722500,,1175
4607,37.74644,-122.440429,1972,2.0,2,09/06/2013,720000,,1175
4608,37.745299,-122.442617,1972,2.0,2,10/24/2014,725000,,1175
4609,37.746489,-122.440955,1972,1.0,1,08/26/2015,725000,,830
4610,37.724844,-122.421783,1944,1.0,3,02/27/2015,735000,3000,880
4611,37.735096,-122.398396,1942,2.0,3,10/22/2015,735000,1572,1177
4612,37.714683,-122.454536,1940,2.0,3,03/29/2016,738000,3123,940
4613,37.712576,-122.455284,1910,2.5,3,11/20/2015,720000,2250,1360
4614,37.733516,-122.426162,2006,2.0,3,06/06/2013,735000,,1272
4615,37.719259,-122.39108,1923,3.0,4,01/14/2014,730000,2613,1920
4616,37.718334,-122.43008,1927,2.0,,10/22/2014,730000,1250,1650
4617,37.731221,-122.414506,1938,1.0,2,06/26/2013,720000,3476,1377
4618,37.743016,-122.408537,1959,1.0,2,03/05/2015,740000,,779
4619,37.723853,-122.407012,1930,1.0,2,02/18/2016,720000,2996,1250
4620,37.714646,-122.464128,1946,2.0,5,01/23/2015,728000,2495,1637
4621,37.749438,-122.505383,1944,1.0,3,03/18/2014,725000,1437,969
4622,37.714156,-122.398562,2008,2.0,2,08/31/2015,740000,,1207
4623,37.731554,-122.411905,1940,1.0,3,01/15/2015,725000,2178,1248
4624,37.725337,-122.399307,2010,2.0,2,10/30/2015,740000,,1026
4625,37.725337,-122.399307,2010,2.0,2,10/30/2015,740000,,1026
4626,37.724595,-122.394832,2010,2.0,2,03/17/2015,721000,,1011
4627,37.724595,-122.394832,2010,2.0,2,09/18/2015,735000,,1011
