"zillow_id","latitude","longitude","year_built","bathrooms","bedrooms","last_sold_date","last_sold_price","home_type","tax_year","tax_value","home_size","zipcode","list","url","property_size","log_last_sold_price","log_tax_value","log_home_size","log_property_size","location_cluster"
32222433,40.60495,-73.76688,1950,2,4,2014-11-19,404000,"SingleFamily",2015,473000,1742,11691,NA,NA,6933,12.9091701569433,13.0668506674741,7.46278915741245,8.84404789894249,"10"
29819324,40.860749,-73.863375,1940,1,1,2015-02-11,400000,"MultiFamily2To4",2015,596000,1200,10467,NA,NA,3310,12.8992198260901,13.2979959460475,7.09007683577609,8.10470346837111,"3"
80005855,40.728003,-73.999943,1970,1,1,2013-10-04,952000,"Condominium",2014,166621,731,10012,NA,NA,NA,13.7663203137735,12.0234770511914,6.59441345974978,NA,"8"
32107960,40.690709,-73.858535,1915,2,4,2015-11-06,320000,"MultiFamily2To4",2015,417000,1948,11421,NA,NA,1915,12.6760762747759,12.9408415007809,7.57455848420248,7.55747290161475,"4"
32221647,40.6102,-73.764,1915,5,7,2015-09-15,603400,"MultiFamily2To4",2015,482000,3451,11691,NA,NA,10000,13.3103356057071,13.0856993930327,8.146419323098,9.21034037197618,"10"
32194819,40.69246,-73.74572,1960,2,3,2015-02-12,285000,"SingleFamily",2015,392000,1275,11411,NA,NA,2200,12.5602444592508,12.8790171187726,7.15070145759253,7.69621263934641,"6"
32036345,40.769025,-73.79581,1950,3,4,2014-04-18,780000,"SingleFamily",2015,7e+05,1582,11358,NA,NA,4000,13.5670491986658,13.4588356140255,7.3664451483276,8.29404964010203,"5"
2098941200,40.68146,-73.91283,1899,4,7,2016-01-27,557500,"Miscellaneous",2015,555000,2103,11233,NA,NA,1558,13.2312177823164,13.2267233927286,7.6511201757027,7.35115822643069,"14"
30788383,40.611985,-73.907,1960,3,4,2003-11-03,855000,"SingleFamily",2015,1026000,3083,11234,"$1,349,000","http://www.zillow.com/homes/for_sale/30788383_zpid",6517,13.6588567479189,13.8411783047129,8.03365842788615,8.78216942633238,"15"
31515205,40.767479,-73.985199,1932,1,1,2014-12-24,1400000,"Condominium",2015,368749,1150,10019,NA,NA,NA,14.1519827945855,12.8178714747681,7.0475172213573,NA,"2"
32222188,40.604265,-73.758434,1925,2,5,2015-08-05,250000,"SingleFamily",2015,397000,1490,11691,NA,NA,4055,12.4292161968444,12.8916915596693,7.30653139893951,8.30770596654951,"10"
32282604,40.62108,-74.13745,1950,2,4,2014-04-22,378000,"SingleFamily",2015,405000,1050,10314,NA,NA,3400,12.8426494746017,12.9116423460887,6.95654544315157,8.13153071060425,"13"
32298851,40.628765,-74.148345,1920,1.5,3,2014-11-13,340000,"SingleFamily",2015,273000,1456,10303,NA,NA,6528,12.7367008965923,12.5172270741671,7.28344822875663,8.78385589664394,"13"
72690804,40.872737,-73.86325,2005,3,5,2015-08-31,225000,"MultiFamily2To4",2015,419000,2409,10467,NA,NA,705,12.3238556811866,12.9456261989043,7.78696700261487,6.55819780281227,"3"
32149555,40.72221,-73.748255,1925,2,3,2013-08-14,410000,"SingleFamily",2015,437000,1334,11428,NA,NA,2340,12.9239124386805,12.9876884740777,7.19593722647557,7.75790620835175,"12"
32196795,40.69221,-73.738935,1945,3,5,2015-09-23,455000,"SingleFamily",2015,461000,2050,11411,NA,NA,3998,13.0280526979331,13.0411533219788,7.62559507213245,8.29354951506035,"12"
30682523,40.6143,-73.98429,1915,3,5,2016-02-09,395000,"MultiFamily2To4",2015,1043000,2950,11204,NA,NA,3600,12.8866410438833,13.8576117339829,7.98956044933387,8.1886891244442,"7"
31538400,40.769749,-73.954979,1985,1,0,2014-06-09,545000,"MultiFamily2To4",2015,140248,550,10021,NA,NA,NA,13.2085410736454,11.8511675630337,6.30991827822652,NA,"9"
32161578,40.705575,-73.745669,1925,2,4,2015-06-18,465000,"SingleFamily",2015,334000,1340,11429,NA,NA,2871,13.0497926845695,12.7188962719588,7.20042489294496,7.96241568012106,"12"
32057077,40.787525,-73.77876,1980,2,3,2013-07-24,990000,"SingleFamily",2015,1141000,3540,11360,NA,NA,3360,13.8054602221108,13.9474156288442,8.17188200612782,8.11969625295725,"5"
80011165,40.708278,-74.006828,1927,2,1,2013-11-20,960000,"Condominium",2014,282654,939,10038,NA,NA,11186,13.774688563444,12.5519788137811,6.84481547920826,9.32241827538153,"8"
89073877,40.743255,-73.923133,2006,1,1,2015-06-15,510000,"Condominium",2015,127807,750,11104,NA,NA,10000,13.1421660047005,11.7582765925085,6.62007320653036,9.21034037197618,"9"
65321735,40.800533,-73.947364,2003,2,2,2015-09-17,813000,"Condominium",2015,108591,1006,10026,NA,NA,NA,13.6084863885299,11.5953438101196,6.91373735065968,NA,"11"
