,zillow_id,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_type,tax_year,tax_value,home_size,zipcode
4956,15118882,37.745525,-122.496527,1951,1.0,3,08/28/2013,761000,1746,SingleFamily,2015,776204.0,905,94116
4957,15118915,37.74468,-122.496969,1947,1.0,,07/10/2015,760000,3000,SingleFamily,2015,65516.0,1300,94116
4958,15120874,37.74257,-122.492232,1922,1.0,2,01/13/2014,762000,2500,SingleFamily,2015,777222.0,1560,94116
4959,15121018,37.742951,-122.496849,1950,2.0,3,09/13/2013,780000,2996,SingleFamily,2015,795582.0,1220,94116
4960,15121319,37.742707,-122.503941,1941,1.0,,10/09/2014,775000,3000,SingleFamily,2015,774921.0,1175,94116
4961,15121327,37.742163,-122.503794,1940,2.0,2,05/16/2014,765000,1306,SingleFamily,2015,780284.0,1025,94116
4962,15121458,37.741291,-122.50599,1938,2.0,3,10/15/2015,775000,3049,SingleFamily,2015,293935.0,1151,94116
4963,15121755,37.740481,-122.499419,1945,1.0,3,12/12/2014,780000,2060,Townhouse,2015,780000.0,1214,94116
4964,15122219,37.741414,-122.487728,1947,1.0,2,07/19/2013,765000,2996,SingleFamily,2015,780284.0,1162,94116
4965,15123329,37.740611,-122.47949,1914,1.0,2,01/14/2014,781500,3598,SingleFamily,2015,796789.0,1135,94116
4966,15124496,37.737378,-122.50569,1944,2.0,3,10/22/2013,780000,2657,SingleFamily,2015,795584.0,1064,94116
4967,15126129,37.735506,-122.499135,1948,1.0,2,11/14/2014,775000,3001,SingleFamily,2015,775000.0,1012,94116
4968,15126213,37.735751,-122.501302,1950,1.0,2,11/19/2014,780000,3000,SingleFamily,2015,780000.0,1037,94116
4969,15126376,37.735103,-122.491962,1940,1.0,2,07/18/2013,780000,2526,SingleFamily,2015,71593.0,1424,94116
4970,15126514,37.735023,-122.479994,1936,1.0,,02/26/2014,783000,3297,SingleFamily,2015,798644.0,1805,94132
4971,15126560,37.73601,-122.474075,1979,3.0,3,10/22/2013,783000,,Condominium,2015,798542.0,1460,94132
4972,15126570,37.73601,-122.474075,1979,2.0,3,04/17/2015,760000,,Condominium,2015,676548.0,1460,94132
4973,15133056,37.748824,-122.447752,1951,1.0,2,12/30/2015,760000,3001,SingleFamily,2015,127176.0,833,94131
4974,15136314,37.734025,-122.451375,1946,1.0,2,12/03/2014,762000,2896,SingleFamily,2015,762000.0,1050,94127
4975,15138759,37.732086,-122.450313,1923,1.0,2,04/30/2013,780000,2495,SingleFamily,2015,799194.0,1155,94127
4976,15139228,37.731258,-122.447335,1925,2.0,2,03/21/2014,785000,2813,SingleFamily,2015,800683.0,1355,94127
4977,15139338,37.730176,-122.442287,1908,3.0,6,09/13/2013,760000,2500,MultiFamily2To4,2015,775184.0,2464,94131
4978,15140032,37.725958,-122.43556,1958,2.0,2,09/18/2015,775000,2482,SingleFamily,2015,259250.0,1088,94112
4979,15140867,37.727711,-122.447305,1910,1.0,2,04/24/2014,768000,2813,SingleFamily,2015,783342.0,960,94112
4980,15140926,37.72713,-122.446277,1926,2.0,3,03/21/2014,782000,2500,SingleFamily,2015,797623.0,1400,94112
4981,15141228,37.724194,-122.437705,1938,1.0,2,02/14/2014,762000,3049,SingleFamily,2015,777223.0,1525,94112
4982,15141338,37.723612,-122.441041,1916,3.0,4,08/30/2013,760000,1746,SingleFamily,2015,775184.0,1794,94112
4983,15153264,37.736686,-122.388176,1981,2.0,3,08/19/2014,765000,1742,SingleFamily,2015,765000.0,1800,94124
4984,15153559,37.731189,-122.385454,1941,3.0,4,11/17/2015,780000,2613,SingleFamily,2015,43783.0,1275,94124
4985,15154053,37.729108,-122.387853,1919,2.0,2,08/05/2014,775000,2495,SingleFamily,2015,775000.0,1752,94124
4986,15154693,37.718975,-122.391651,1908,2.0,2,03/12/2014,780000,2495,SingleFamily,2015,62058.0,1350,94124
