,zillow_id,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_type,tax_year,tax_value,home_size,zipcode
7375,125466936,40.704822,-73.834396,1939,1.0,0,02/12/2016,132000,,Cooperative,,,,11415
7376,29836826,40.892264,-73.85077,1920,2.0,,04/04/2016,365000,2500,SingleFamily,2015,394000.0,2261,10466
7377,30608236,40.688765,-73.95096,1931,4.0,11,11/12/2015,1600000,1680,MultiFamily2To4,2015,194000.0,4620,11216
7378,29822519,40.86288,-73.83841,1950,,,05/28/2013,395000,2264,Duplex,2015,409000.0,1890,10469
7379,2099745098,40.59329,-73.95715,,1.0,,,,,Cooperative,,,500,11235
7380,32214370,40.662769,-73.844355,1950,4.0,6,02/13/2015,760000,5601,SingleFamily,2015,615000.0,2200,11414
7381,2102397832,40.6545,-74.0013,2014,1.0,1,,,,Condominium,,,658,11232
7382,32368238,40.516999,-74.206505,1989,3.0,5,,,10290,SingleFamily,2015,831000.0,4100,10309
7383,29815310,40.851575,-73.85278,1960,1.0,3,08/07/2015,50000,2900,Apartment,2015,578000.0,1120,10461
7384,120696938,40.747547,-73.99979,,,,03/14/2014,77342,,Cooperative,,,,10001
7385,31962899,40.75513,-73.880265,1935,,,11/10/2014,725000,3000,SingleFamily,2015,763000.0,2051,11372
7386,30695025,40.629495,-74.021265,1899,3.0,7,01/05/2016,1050000,2970,Townhouse,2015,794000.0,2198,11209
7387,30585274,40.66997,-73.99196,1899,,0,08/12/2014,1000000,1283,MultiFamily2To4,2007,374000.0,2280,11215
7388,117615652,40.725051,-73.889175,1950,2.0,2,,,,Condominium,2015,219719.0,900,11378
7389,29846042,40.831285,-73.819075,1925,1.0,3,06/10/2013,352500,1785,SingleFamily,2015,353000.0,1008,10465
7390,30670864,40.65322,-73.978085,1910,3.0,3,07/06/2015,999999,1374,SingleFamily,2015,718000.0,1074,11218
7391,31094565,40.733814,-73.68885,1952,2.0,4,10/06/2014,450000,4000,SingleFamily,2015,393600.0,1260,11040
7392,89332243,40.739772,-74.004096,2006,2.0,2,12/30/2013,10,,Condominium,2014,1054357.0,1405,10014
7393,29788204,40.876625,-73.88613,1910,2.0,6,05/09/2014,370000,1961,MultiFamily2To4,2015,405000.0,3190,10468
7394,31540560,40.781002,-73.95993,1928,,,12/19/2013,3500000,,Condominium,2011,4823.0,25,10028
7395,72516460,40.7404,-73.988813,1911,2.0,2,08/06/2014,2820000,,Cooperative,,,,10010
7396,72536393,40.857452,-73.935936,1928,1.0,1,07/07/2014,284500,,Cooperative,,,,10040
7397,30634451,40.66974,-73.89568,1910,3.0,5,10/06/2014,407000,5000,SingleFamily,2015,457000.0,2400,11207
7398,32348967,40.53932,-74.145655,1920,1.0,2,03/17/2015,180500,3375,SingleFamily,2015,302000.0,1696,10308
7399,32290279,40.61075,-74.142785,1958,1.0,2,10/15/2013,305000,4975,SingleFamily,2015,312000.0,728,10314
7400,89074789,40.719855,-73.947205,,,,06/26/2013,949000,,Condominium,2015,131509.0,1066,11222
7401,31992534,40.729755,-73.875945,2007,3.0,5,01/31/2014,730100,2100,MultiFamily2To4,2015,608000.0,1720,11379
7402,2098864647,40.744167,-73.747901,1955,3.0,3,,,,SingleFamily,,,,11364
7403,30572036,40.68199,-73.99134,1899,3.5,5,04/08/2014,1900000,1667,Townhouse,2015,1913000.0,3128,11231
7404,30586252,40.6648,-73.989065,1899,,,02/19/2014,1370000,1140,Triplex,2015,1330000.0,2700,11215
7405,31263657,40.619222,-73.748906,1952,2.0,3,02/18/2016,425000,5800,SingleFamily,2015,306000.0,5400,11096
7406,32157338,40.703645,-73.75102,1935,3.0,3,10/05/2015,336000,1800,SingleFamily,2015,318000.0,1404,11412
7407,32107618,40.68841,-73.861895,1920,,,05/15/2015,442000,2462,SingleFamily,2015,375000.0,1440,11421
7408,31173284,40.718342,-73.716293,1931,4.0,3,03/28/2003,530000,6098,SingleFamily,2015,518000.0,2400,11001
7409,119533264,40.759464,-73.91117,2006,2.0,2,08/19/2013,600000,5000,Condominium,,,9057,11103
7410,122062700,40.828701,-73.949303,,,,08/26/2014,90823,,Cooperative,,,,10031
7411,29851363,40.88878,-73.81725,1920,2.0,3,02/22/2016,350000,4766,SingleFamily,2015,342000.0,1244,10475
7412,2104375466,40.73209,-73.85374,1949,1.0,1,,,,Condominium,,,750,11374
7413,32166321,40.69461,-73.73261,1940,3.0,3,10/10/2013,430000,3200,SingleFamily,2015,435000.0,1898,11411
7414,32149094,40.720835,-73.74404,1930,2.0,2,03/29/2016,385000,2500,SingleFamily,2015,461000.0,1120,11428
7415,122229933,40.7052,-73.8341,1950,1.0,1,11/06/2014,151000,,Cooperative,,,,11415
7416,32169746,40.675955,-73.840045,1925,,,10/22/2015,499500,2600,Duplex,2015,416000.0,1264,11417
7417,65322173,40.722003,-73.996955,1909,2.0,2,12/15/2015,2755000,,Condominium,2014,209790.0,1283,10012
7418,2102476764,40.7308,-74.0097,2002,4.0,4,,,,Condominium,,,3300,10014
7419,122025718,40.690598,-73.921761,1931,1.0,2,05/05/2014,840000,1900,MultiFamily5Plus,2015,840000.0,3420,11221
7420,32182064,40.681475,-73.79363,1920,2.0,3,01/14/2016,2300,2000,SingleFamily,2015,335000.0,2000,11436
7421,119532335,40.590873,-73.792505,2012,,,10/30/2014,640000,4451,Duplex,2015,713000.0,2515,11692
7422,30721962,40.60554,-73.97376,1930,,,09/03/2014,999000,2500,MultiFamily2To4,2015,767000.0,4410,11223
7423,2098898338,40.693091,-73.736764,,3.0,4,,,,SingleFamily,,,,11411
7424,32005968,40.704101,-73.835365,1956,1.0,2,10/22/2007,365000,,Condominium,2015,72272.0,925,11415
7425,83047099,40.669502,-73.95243,2004,1.5,2,02/24/2016,810000,,Condominium,2015,81966.0,1055,11225
7426,83053612,40.501789,-74.24797,2006,4.0,4,10/09/2013,949999,5102,MultiFamily2To4,2015,978000.0,3061,10307
7427,32161564,40.70589,-73.74534,1925,2.5,3,06/15/2015,465000,2909,SingleFamily,2015,375000.0,1830,11429
7428,79738252,40.719783,-73.816003,,1.0,1,05/13/2015,133000,,Cooperative,,,600,11367
7429,32329531,40.579735,-74.102624,1935,,,08/06/2013,334000,4000,Duplex,2015,275000.0,1360,10306
7430,30654852,40.64743,-73.928255,1920,,,07/09/2014,1000,2000,SingleFamily,2015,334000.0,1378,11203
7431,2109729129,40.837,-73.9447,1914,1.0,3,10/06/2014,400000,,Cooperative,,,910,10032
7432,29851412,40.887525,-73.81806,1950,,0,01/24/2014,380000,5000,SingleFamily,2015,329000.0,936,10475
7433,32022032,40.786249,-73.843265,1920,3.0,5,09/14/2015,740000,2840,MultiFamily2To4,2015,527000.0,2800,11356
7434,32220540,40.601375,-73.738415,1960,,,05/19/2015,710000,3449,SingleFamily,2015,745000.0,2404,11691
7435,30571961,40.68327,-73.994615,1901,4.5,5,,,1933,Townhouse,2015,2388000.0,3040,11231
7436,32018485,40.70325,-73.86756,1931,3.0,5,,,1925,SingleFamily,2007,474000.0,3420,11385
7437,31937463,40.76999,-73.92561,1930,,0,08/04/2014,875000,2000,Miscellaneous,2015,829000.0,1732,11102
7438,121669118,40.656372,-73.95774,,1.0,1,06/25/2014,290000,,Cooperative,,,750,11225
7439,32084675,40.748065,-73.771545,1955,,,07/31/2015,558000,1800,SingleFamily,2015,505000.0,1152,11364
7440,124437609,40.816255,-73.93809,,,,08/21/2015,300000,,SingleFamily,,,,10037
7441,31097945,40.751338,-73.690628,1951,1.5,3,10/09/2013,542500,8276,SingleFamily,2015,491600.0,1700,11040
7442,32084527,40.747415,-73.774915,1950,1.0,4,09/10/2014,765000,4000,SingleFamily,2015,910000.0,1999,11364
7443,29814635,40.847655,-73.851215,1920,,,10/01/2015,430000,2500,Duplex,2015,465000.0,2346,10461
7444,29833998,40.879475,-73.83917,2012,2.0,2,10/27/2010,100000,2375,SingleFamily,2015,321000.0,1257,10469
7445,2102435118,40.62911,-73.94782,,1.0,1,,,,Cooperative,,,,11210
7446,32060008,40.76832,-73.784224,1940,2.0,3,07/20/2015,535000,1751,SingleFamily,2015,523000.0,1020,11361
7447,112086661,40.751397,-74.003361,2009,,,02/04/2015,1250000,,Condominium,2014,244833.0,776,10001
7448,111711458,40.791408,-73.96949,1926,2.0,3,06/09/2015,1700000,,Cooperative,,,,10025
7449,72650148,40.725681,-73.856643,1950,1.0,2,11/01/2013,220000,,Cooperative,,,,11374
7450,29833636,40.88774,-73.849035,1950,2.0,3,08/20/2013,287100,2000,SingleFamily,2015,293000.0,1392,10466
7451,30735360,40.597375,-73.97992,1925,2.0,4,09/30/2014,688000,1999,MultiFamily2To4,2015,597000.0,1424,11223
7452,32332689,40.5744,-74.098375,1996,1.5,3,08/07/2015,370000,2500,Townhouse,2015,357000.0,2100,10306
7453,32148877,40.719359,-73.7409,1930,,,02/06/2015,555000,3150,SingleFamily,2015,492000.0,2160,11428
7454,32158029,40.702765,-73.74642,1935,2.0,3,10/30/2015,435000,2900,MultiFamily2To4,2015,437000.0,1622,11429
7455,29785637,40.853525,-73.898785,1910,3.0,11,05/16/2014,491000,3131,MultiFamily2To4,2015,442000.0,2816,10457
7456,83048302,40.717777,-73.942703,2007,2.0,2,03/14/2016,1075000,,Condominium,2015,139573.0,1005,11211
7457,32286175,40.63052,-74.082844,1899,2.0,5,07/09/2014,490000,5000,SingleFamily,2015,442000.0,2160,10304
7458,32148364,40.71677,-73.74479,1920,1.0,3,12/10/2013,369000,2500,SingleFamily,2015,328000.0,930,11428
7459,30573580,40.675219,-74.0157,1925,,,10/31/2013,1900000,1500,SingleFamily,2007,364000.0,3750,11231
7460,29854450,40.902385,-73.912005,1910,7.5,5,,,12201,SingleFamily,2015,1601000.0,6500,10471
7461,31973291,40.7437,-73.865085,1925,2.0,7,01/10/2014,585000,2200,MultiFamily2To4,2015,498000.0,1728,11368
7462,30677948,40.62529,-73.98007,1935,,,12/20/2013,920000,2045,Duplex,2015,775000.0,1564,11204
7463,2099219632,40.54957,-74.14617,1919,4.0,5,,,4800,SingleFamily,,,2964,10308
7464,120227078,40.816162,-73.940383,2009,,,08/02/2013,416000,4996,Condominium,2014,178845.0,1018,10030
7465,72536415,40.853473,-73.93605,1939,1.0,1,03/10/2016,395000,,Cooperative,,,850,10033
7466,30614869,40.697455,-73.97722,1899,5.0,6,03/10/2015,1200000,17,MultiFamily2To4,2015,397000.0,2636,11205
7467,69511154,40.776333,-73.989149,2004,2.0,2,10/15/2015,2140000,,Condominium,2014,308255.0,1290,10069
7468,89335739,40.708058,-74.006169,1940,1.0,0,02/03/2014,650000,,MultiFamily2To4,2014,149599.0,652,10038
7469,112088561,40.709156,-74.01371,2007,1.0,1,02/27/2014,1257538,,MultiFamily2To4,2014,180640.0,704,10006
7470,30674885,40.634107,-73.978906,1928,1.5,2,08/04/2015,360000,18060,Condominium,2015,50802.0,1106,11218
7471,2099143693,40.7792,-73.9604,1937,1.0,0,,,,Cooperative,,,,10028
7472,32295834,40.6376,-74.129815,1920,1.0,3,05/02/2014,235000,1088,SingleFamily,2015,254000.0,1392,10302
7473,30630186,40.69325,-73.90584,1935,,,02/17/2016,416000,2333,Duplex,2015,697000.0,3192,11237
7474,79487052,40.753115,-73.887877,1950,1.0,2,03/18/2015,400000,,Cooperative,,,,11372
7475,80007772,40.761539,-73.999137,2005,1.0,1,06/11/2015,880000,,Condominium,2014,195289.0,700,10036
7476,32017941,40.706015,-73.868525,1935,2.0,4,,,2962,SingleFamily,2015,622000.0,1840,11385
7477,89331783,40.705416,-74.00783,1987,,,04/09/2014,989400,,Condominium,2014,196215.0,668,10005
7478,79511572,40.720062,-73.840221,1965,2.0,2,,,,Cooperative,,,,11375
7479,2106260459,40.7531,-73.9677,1984,5.0,4,,,,Condominium,,,2850,10017
7480,121148909,40.737,-73.7773,,1.0,2,,,,Cooperative,,,,11365
7481,83046749,40.6954,-73.946823,2006,2.0,0,12/14/2007,235000,2000,Condominium,2015,71820.0,750,11206
7482,32042586,40.74984,-73.81652,1925,1.0,4,12/28/2015,830000,3895,SingleFamily,2015,710000.0,1331,11355
7483,119975258,40.895008,-73.909156,1961,1.0,1,01/09/2014,155000,,Cooperative,,,,10471
7484,68312729,40.685507,-73.979205,1990,2.0,2,06/12/2008,660000,,Condominium,2015,156972.0,1365,11217
7485,32146641,40.721455,-73.762235,1950,1.0,2,10/01/2014,69500,105768,SingleFamily,2015,1.1826E7,185016,11423
7486,79738159,40.707196,-73.835638,2006,2.0,2,08/20/2013,445000,,Condominium,2015,117095.0,976,11415
7487,29841833,40.83804,-73.834,1920,,0,05/15/2015,625000,4900,MultiFamily2To4,2015,438000.0,1686,10461
7488,29786669,40.860575,-73.912929,1901,2.0,6,11/18/2014,510000,2613,MultiFamily2To4,2015,395000.0,2352,10468
7489,79487405,40.731135,-73.843465,,,,07/17/2013,175000,,Cooperative,,,,11375
7490,120697006,40.747547,-73.99979,,,,03/14/2014,81737,,Cooperative,,,,10001
7491,121848203,40.890323,-73.911949,,,,08/06/2014,170000,,Cooperative,,,,10471
7492,30633210,40.65841,-73.91301,1930,,,01/05/2015,550000,2500,Quadruplex,2015,313000.0,3900,11212
7493,89073200,40.720016,-73.947158,1920,2.0,2,05/15/2015,1350000,,Condominium,2015,118362.0,1143,11222
7494,114411999,40.57547,-73.84216,,,,05/06/2013,145000,,Cooperative,,,,11694
7495,32224607,40.596495,-73.79583,1965,2.0,2,,,2500,SingleFamily,2015,203000.0,1680,11692
7496,32211611,40.654675,-73.73787,1950,3.0,3,01/07/2014,368000,2600,SingleFamily,2015,299000.0,1836,11422
7497,79721357,40.615337,-73.969528,1964,1.0,1,06/06/2007,145000,,Cooperative,,,800,11230
7498,32332367,40.577835,-74.09364,1975,,,07/20/2015,735000,5958,Triplex,2015,643000.0,3496,10306
7499,79497295,40.737522,-73.983892,,,,11/09/2015,375000,,Cooperative,,,,10010
7500,89333818,40.708058,-74.006169,1940,1.0,1,05/23/2014,900000,,MultiFamily2To4,2014,174533.0,840,10038
7501,32097453,40.762045,-73.72568,1950,2.0,3,08/28/2014,997885,3500,SingleFamily,2015,788000.0,1250,11362
7502,2098877188,40.89263,-73.83699,2008,4.0,5,05/25/2005,470000,2500,MultiFamily2To4,2015,436000.0,2334,10466
7503,32302026,40.620925,-74.14588,1960,2.0,,04/23/2014,495000,7502,SingleFamily,2015,450000.0,2020,10302
7504,31511009,40.746402,-73.973342,,,,03/21/2014,2450000,80967,Condominium,2015,383992.0,1546,10016
7505,79530979,40.743125,-73.724796,,,,10/25/2013,221000,,Cooperative,,,,11426
7506,32152646,40.726215,-73.731355,1930,1.0,3,05/03/2013,350000,2800,SingleFamily,2015,434000.0,1080,11426
7507,32193634,40.690685,-73.7555,1920,2.0,5,08/21/2012,410000,4000,MultiFamily2To4,2015,425000.0,1407,11412
7508,32331531,40.578478,-74.097602,2003,3.5,3,01/27/2016,405000,2300,Townhouse,2015,316000.0,1500,10306
7509,31981309,40.728584,-73.902465,1940,,,09/11/2013,550000,1843,SingleFamily,2015,584000.0,1916,11378
7510,32041194,40.754034,-73.826543,1998,1.0,2,11/20/2013,453000,,Condominium,2015,81641.0,777,11355
7511,32347744,40.542805,-74.15493,1960,2.0,3,07/28/2014,395000,2190,SingleFamily,2015,326000.0,1140,10308
7512,30696724,40.63053,-74.034885,1925,2.5,6,10/22/2014,1750000,4500,MultiFamily2To4,2015,1254000.0,2550,11209
