,zillow_id,homo_info,year_updated,basement,roof,view,heating_sources,heating_system,rooms,neighborhood,school_district
7155,15076713,http://www.zillow.com/homedetails/1-Daniel-Burnham-Ct-APT-1408-San-Francisco-CA-94109/15076713_zpid/,2009,,,"Water, City",Electric,Baseboard,"Dining room, Family room, Walk-in closet",,
7156,15078320,http://www.zillow.com/homedetails/771-773-Grove-St-San-Francisco-CA-94102/15078320_zpid/,,,,,,,,,
7157,15078460,http://www.zillow.com/homedetails/622-626-Buchanan-St-San-Francisco-CA-94102/15078460_zpid/,,,,,,,,,
7158,15078942,http://www.zillow.com/homedetails/710-Haight-St-San-Francisco-CA-94117/15078942_zpid/,2007,None,,,Gas,Forced air,"Dining room, Laundry room, Master bath, Walk-in closet",,
7159,15079133,http://www.zillow.com/homedetails/229-Laussat-St-San-Francisco-CA-94117/15079133_zpid/,,Finished,,,,,,,
7160,15079633,http://www.zillow.com/homedetails/3700-Divisadero-St-APT-203-San-Francisco-CA-94123/15079633_zpid/,,,,,,,,,
7161,15080012,http://www.zillow.com/homedetails/3417-Divisadero-St-San-Francisco-CA-94123/15080012_zpid/,,,,,,,,,
7162,15081981,http://www.zillow.com/homedetails/2990-Clay-St-APT-4-San-Francisco-CA-94115/15081981_zpid/,,None,Composition,City,Gas,Forced air,,,
7163,15085673,http://www.zillow.com/homedetails/538-Baker-St-San-Francisco-CA-94117/15085673_zpid/,2002,,,,,,,,
7164,15086308,http://www.zillow.com/homedetails/224-228-Shrader-St-San-Francisco-CA-94117/15086308_zpid/,,,,,,Forced air,,,
7165,15086327,http://www.zillow.com/homedetails/2016-Fell-St-San-Francisco-CA-94117/15086327_zpid/,,,,,,,,,
7166,15086882,http://www.zillow.com/homedetails/2170-Divisadero-St-San-Francisco-CA-94115/15086882_zpid/,,,,,,,Master bath,,
7167,15090744,http://www.zillow.com/homedetails/318-30th-Ave-San-Francisco-CA-94121/15090744_zpid/,,,,,,,,,
7168,15091274,http://www.zillow.com/homedetails/254-12th-Ave-San-Francisco-CA-94118/15091274_zpid/,,,,,,,,,
7169,15091430,http://www.zillow.com/homedetails/221-5th-Ave-San-Francisco-CA-94118/15091430_zpid/,,,,,,,,,
7170,15091555,http://www.zillow.com/homedetails/278-2nd-Ave-San-Francisco-CA-94118/15091555_zpid/,,,,,,,,,
7171,15092241,http://www.zillow.com/homedetails/454-32nd-Ave-San-Francisco-CA-94121/15092241_zpid/,,Finished,Shake / Shingle,City,,,"Dining room, Family room",,
7172,15092396,http://www.zillow.com/homedetails/483-485-35TH-Ave-San-Francisco-CA-94121/15092396_zpid/,,,,,,Forced air,Walk-in closet,,
7173,15092931,http://www.zillow.com/homedetails/567-47th-Ave-San-Francisco-CA-94121/15092931_zpid/,,Unfinished,,,,Forced air,"Dining room, Sun room",,
7174,15092934,http://www.zillow.com/homedetails/579-47th-Ave-San-Francisco-CA-94121/15092934_zpid/,2014,,,,,,,,
7175,15092935,http://www.zillow.com/homedetails/583-47th-Ave-San-Francisco-CA-94121/15092935_zpid/,,,,,,,,,
7176,15092969,http://www.zillow.com/homedetails/8325-Geary-Blvd-San-Francisco-CA-94121/15092969_zpid/,,,,,,,,,
7177,15093761,http://www.zillow.com/homedetails/520-28th-Ave-San-Francisco-CA-94121/15093761_zpid/,,,,,,,,,
7178,15094002,http://www.zillow.com/homedetails/482-20th-Ave-San-Francisco-CA-94121/15094002_zpid/,,,,,,,,,
7179,15095169,http://www.zillow.com/homedetails/558-560-17TH-Ave-San-Francisco-CA-94121/15095169_zpid/,,,,,,,,,
7180,15095247,http://www.zillow.com/homedetails/587-18th-Ave-San-Francisco-CA-94121/15095247_zpid/,,,,,Gas,Forced air,"Breakfast nook, Dining room, Family room, Walk-in closet",,
7181,15095382,http://www.zillow.com/homedetails/559-21st-Ave-San-Francisco-CA-94121/15095382_zpid/,,,,,Gas,Forced air,Dining room,,
7182,15095686,http://www.zillow.com/homedetails/675-677-28TH-Ave-San-Francisco-CA-94121/15095686_zpid/,,,,,,,,,
7183,15096032,http://www.zillow.com/homedetails/678-39th-Ave-San-Francisco-CA-94121/15096032_zpid/,,,,,,,,,
7184,15096073,http://www.zillow.com/homedetails/679-39th-Ave-San-Francisco-CA-94121/15096073_zpid/,2013,,,,,Forced air,"Dining room, Family room, Laundry room, Master bath, Office, Recreation room",,
7185,15096201,http://www.zillow.com/homedetails/629-42nd-Ave-San-Francisco-CA-94121/15096201_zpid/,,,,,,Forced air,,,
7186,15096806,http://www.zillow.com/homedetails/744-44th-Ave-San-Francisco-CA-94121/15096806_zpid/,,,,,,,,,
7187,15097167,http://www.zillow.com/homedetails/3332-Cabrillo-St-San-Francisco-CA-94121/15097167_zpid/,,,,,,,,,
