"zillow_id","latitude","longitude","year_built","bathrooms","bedrooms","last_sold_date","last_sold_price","property.size","home_type","tax_year","tax_value","home_size","zipcode","list","url"
112077610,40.650577,-74.009284,2009,1,2,2013-10-07,335000,NA,"Condominium",2015,109625,650,11232,NA,NA
32348372,40.540144,-74.14928,1992,0.5,2,2015-08-25,345000,1200,"Townhouse",2015,348000,1200,10308,NA,NA
2102271309,40.7052,-73.9874,2016,4,4,NA,NA,NA,"Condominium",NA,NA,2994,11201,"$7,011,474","http://www.zillow.com/homes/for_sale/2102271309_zpid"
32361955,40.558128,-74.198144,1975,2,3,2006-06-05,325000,1800,"Townhouse",2015,329000,1536,10312,"$389,000","http://www.zillow.com/homes/for_sale/32361955_zpid"
29779112,40.826475,-73.904765,1901,3,6,2013-11-01,425000,1968,"MultiFamily2To4",2015,353000,1967,10456,NA,NA
32197221,40.691784,-73.745025,1941,2,4,2015-03-06,433000,4000,"SingleFamily",2015,417000,1224,11411,NA,NA
32142429,40.70377,-73.779294,1930,2,5,2014-10-22,399000,2500,"MultiFamily2To4",2015,479000,800,11433,NA,NA
32351061,40.529443,-74.159246,1975,3,3,2014-07-21,426000,2553,"SingleFamily",2015,409000,1456,10312,NA,NA
31516064,40.767215,-73.983016,1987,2,2,2015-01-22,4000000,NA,"Condominium",2014,503131,1455,10019,NA,NA
119917928,40.796401,-73.946853,NA,NA,NA,2013-09-25,38691,NA,"Cooperative",NA,NA,NA,10029,NA,NA
30707802,40.61679,-74.007185,1920,NA,NA,2013-12-26,573000,1117,"SingleFamily",2015,593000,1200,11228,NA,NA
2099467710,40.7534,-73.997,1960,1,0,NA,NA,NA,"Cooperative",NA,NA,550,10001,"$435,000","http://www.zillow.com/homes/for_sale/2099467710_zpid"
32061122,40.76805,-73.7718,1987,6,9,2014-11-05,1190000,2454,"MultiFamily2To4",2015,1024000,2899,11361,NA,NA
2133572494,40.760925,-73.874603,1920,2,3,NA,NA,16,"SingleFamily",NA,NA,NA,11369,"$580,000","http://www.zillow.com/homes/for_sale/2133572494_zpid"
124272377,40.73241,-73.90009,NA,NA,NA,2015-08-31,220000,NA,"Cooperative",NA,NA,NA,11378,NA,NA
30685783,40.633278,-73.992144,1996,NA,NA,2016-02-26,740000,2003,"Condominium",2015,192334,1787,11219,NA,NA
119912436,40.853397,-73.94004,NA,NA,NA,2013-06-03,390000,NA,"Cooperative",NA,NA,NA,10033,NA,NA
30704463,40.616655,-73.99724,1940,2,3,NA,NA,1750,"SingleFamily",2015,610000,1925,11204,"$749,000","http://www.zillow.com/homes/for_sale/30704463_zpid"
31521395,40.776878,-73.980995,1927,2,2,2015-10-23,2425000,11247,"MultiFamily2To4",2015,318901,1636,10023,NA,NA
30670691,40.658225,-73.975205,1920,3,9,NA,NA,1757,"MultiFamily2To4",2015,1722000,3350,11215,"$2,300,000","http://www.zillow.com/homes/for_sale/30670691_zpid"
84075534,40.808865,-73.955421,1910,1,2,2014-12-02,469000,NA,"Cooperative",NA,NA,900,10027,NA,NA
2098976320,40.691444,-73.816616,NA,3,7,NA,NA,NA,"Miscellaneous",NA,NA,NA,11419,"$679,000","http://www.zillow.com/homes/for_sale/2098976320_zpid"
32128162,40.688945,-73.81445,1920,2,4,2015-12-16,325000,2500,"SingleFamily",2015,376000,1374,11419,NA,NA
30578684,40.6453,-74.02015,1901,2.5,4,2014-03-25,950000,2003,"MultiFamily2To4",2015,190000,1700,11220,NA,NA
31987323,40.71725,-73.90571,1920,NA,NA,2015-11-02,410000,2000,"SingleFamily",2015,474000,1080,11378,NA,NA
69511665,40.802871,-73.956069,NA,1,1,2014-01-08,780000,NA,"MultiFamily2To4",2015,206470,500,10026,NA,NA
30570169,40.682827,-74.003815,NA,1,2,2013-09-11,565000,34694,"Condominium",2015,378917,765,11231,NA,NA
30688560,40.628299,-73.99713,1925,NA,NA,2014-10-06,930000,2003,"Triplex",2015,819000,2520,11219,NA,NA
97542341,40.70808,-74.007476,1967,1,0,2015-12-16,785000,NA,"Condominium",2014,162332,640,10038,NA,NA
94720353,40.743622,-73.916367,1948,1,1,2013-05-23,200000,11257,"Condominium",2015,52082,711,11104,NA,NA
65322130,40.720993,-73.988159,1900,1,2,NA,NA,2175,"Condominium",2014,122644,787,10002,"$895,000","http://www.zillow.com/homes/for_sale/65322130_zpid"
115826737,40.767814,-73.912513,1929,1,2,2014-12-26,380454,NA,"Cooperative",NA,NA,NA,11103,NA,NA
124268124,40.891407,-73.909309,1953,2,3,2015-08-27,480000,NA,"Cooperative",NA,NA,1350,10471,NA,NA
30586413,40.664415,-73.98987,1925,NA,NA,2015-06-11,900000,1751,"SingleFamily",2007,325000,1890,11215,NA,NA
32000909,40.717079,-73.86129,1931,1.5,3,2014-07-17,581000,2005,"SingleFamily",2015,644000,1780,11374,NA,NA
84075065,40.712535,-73.816009,1955,1,1,2008-12-17,120000,NA,"Cooperative",NA,NA,NA,11435,"$150,000","http://www.zillow.com/homes/for_sale/84075065_zpid"
30622317,40.719055,-73.944035,1910,NA,NA,2013-08-30,875000,1807,"SingleFamily",2015,858000,1630,11222,NA,NA
63873299,40.805256,-73.945386,NA,1,2,2014-03-10,390000,NA,"MultiFamily2To4",2014,50844,829,10027,NA,NA
114443217,40.705341,-73.834655,1950,1,1,2015-08-25,149500,NA,"Cooperative",NA,NA,NA,11415,NA,NA
83043091,40.699898,-73.913765,2008,1,1,2013-12-24,9966000,NA,"MultiFamily2To4",2015,65286,611,11237,NA,NA
32136946,40.698105,-73.80462,1920,1,3,2014-10-06,510000,3000,"SingleFamily",2015,342000,2192,11435,NA,NA
30698096,40.627985,-74.034365,1930,NA,NA,2013-05-22,1050000,3462,"SingleFamily",2015,1145000,2640,11209,NA,NA
79742654,40.576656,-73.840065,1963,1,1,2015-07-01,115000,NA,"Cooperative",NA,NA,687,11694,NA,NA
2099282059,40.731,-73.9909,1960,2,2,NA,NA,NA,"Cooperative",NA,NA,1500,10003,"$2,350,000","http://www.zillow.com/homes/for_sale/2099282059_zpid"
68312625,40.702246,-73.98973,1915,2,2,2013-05-06,1200000,1229,"MultiFamily2To4",2015,107374,1236,11201,NA,NA
30678947,40.626615,-73.98827,1960,NA,NA,2015-04-14,900000,2237,"Triplex",2015,683000,1960,11204,NA,NA
72648558,40.746013,-73.918183,1941,1,1,2016-04-05,359000,NA,"Cooperative",NA,NA,875,11104,NA,NA
31983384,40.735299,-73.89201,1950,1,3,2014-04-04,618800,2000,"SingleFamily",2015,638000,2035,11377,NA,NA
29785026,40.856775,-73.883825,1920,NA,NA,2016-04-01,400000,1717,"Duplex",2015,324000,2106,10458,NA,NA
2104672012,40.7587,-73.961,1975,9.5,5,NA,NA,NA,"Cooperative",NA,NA,5987,10022,"$5,950,000","http://www.zillow.com/homes/for_sale/2104672012_zpid"
32180970,40.683535,-73.798025,1925,2,2,2013-05-30,181000,1400,"SingleFamily",2015,289000,862,11436,NA,NA
32119861,40.69963,-73.82669,1920,2,3,2015-08-13,390000,1350,"SingleFamily",2015,325000,1030,11418,NA,NA
31947793,40.77807,-73.91767,1930,2,4,2015-05-11,1017500,2000,"SingleFamily",2015,737000,1440,11105,NA,NA
32170823,40.66484,-73.837585,1955,NA,NA,2014-04-03,520000,3100,"Duplex",2015,430000,2288,11414,NA,NA
30709437,40.614175,-74.007035,1920,3,5,2013-11-27,730000,2400,"MultiFamily2To4",2015,875000,3300,11228,NA,NA
30574110,40.659729,-73.99798,1910,3,4,2013-09-24,879000,1200,"MultiFamily2To4",2015,541000,2052,11232,NA,NA
32119893,40.699045,-73.824985,1901,NA,NA,2015-07-15,430000,2000,"Duplex",2015,419000,1800,11418,NA,NA
31501760,40.735229,-74.009331,1987,1,1,2013-09-27,875000,NA,"MultiFamily2To4",2014,153136,603,10014,NA,NA
65321441,40.731227,-74.010178,2002,NA,NA,2014-08-30,3750500,NA,"Condominium",2015,581219,1693,10014,NA,NA
32203919,40.6733,-73.744544,1925,2,4,2014-12-27,450000,5000,"SingleFamily",2015,427000,1716,11413,NA,NA
2103321519,40.7614,-73.9511,1976,1,0,2015-06-13,495000,NA,"Cooperative",NA,NA,740,10044,NA,NA
31539350,40.771892,-73.952362,1986,1,1,2015-02-26,725000,NA,"Condominium",2014,181414,700,10021,NA,NA
32289289,40.61199,-74.123768,1925,3,3,2014-04-18,367000,5623,"MultiFamily2To4",2015,415000,1200,10314,NA,NA
32070338,40.719242,-73.811156,1973,NA,NA,2014-02-27,300000,38440,"Condominium",2015,57476,729,11367,NA,NA
89027379,40.741706,-73.955253,2008,1,1,2015-07-14,630000,NA,"MultiFamily2To4",2015,83234,610,11101,NA,NA
2100111928,40.6812,-73.9605,NA,2,2,2016-02-24,1522283,NA,"MultiFamily2To4",NA,NA,1497,11238,NA,NA
31096819,40.742009,-73.680179,1946,1,4,2014-11-19,525000,6000,"SingleFamily",2015,466400,1719,11040,NA,NA
31507502,40.749961,-73.978919,1923,2,1,2005-12-16,840000,NA,"Condominium",2014,207446,900,10016,"$1,395,000","http://www.zillow.com/homes/for_sale/31507502_zpid"
2099849397,40.7152,-74.0125,NA,10,4,NA,NA,NA,"Condominium",NA,NA,3267,10007,"$13,900,000","http://www.zillow.com/homes/for_sale/2099849397_zpid"
2099334656,40.7888,-73.9796,1920,1,1,NA,NA,NA,"Cooperative",NA,NA,400,10024,"$450,000","http://www.zillow.com/homes/for_sale/2099334656_zpid"
79515282,40.750468,-73.722787,1950,1,1,2015-08-03,14000,NA,"Cooperative",NA,NA,575,11426,NA,NA
2098964550,40.56499,-74.12867,1972,NA,NA,NA,NA,2700,"Miscellaneous",NA,NA,2400,10306,"$675,000","http://www.zillow.com/homes/for_sale/2098964550_zpid"
97538577,40.738647,-73.987946,1913,NA,NA,2014-04-03,824782,NA,"Condominium",2014,142609,493,10010,NA,NA
125558210,40.710272,-74.00405,NA,1,2,2016-02-26,950000,NA,"Cooperative",NA,NA,NA,10038,NA,NA
32160622,40.71241,-73.745495,1930,2,3,2016-02-23,340000,4500,"SingleFamily",2015,359000,1380,11429,NA,NA
30612042,40.69243,-73.969425,1901,3,4,2014-06-23,2920000,1660,"MultiFamily2To4",2015,2143000,3850,11205,NA,NA
2104240237,40.8866,-73.9081,1956,1,1,NA,NA,NA,"Cooperative",NA,NA,750,10463,"$139,000","http://www.zillow.com/homes/for_sale/2104240237_zpid"
